timestamp,pop_size,gene_count,mutation_rate,mutation_amount,sim_steps,generation,max_fitness,mean_fitness,median_fitness,max_height
2026-01-06 16:47:14,50,5,0.2,0.3,2400,0,0.015728242961543452,0.0027094546027483122,0.00034989815012565053,2.5017548244232297
2026-01-06 16:47:36,50,5,0.2,0.3,2400,1,0.025999490735609383,0.006660874498977052,0.003848324580791487,2.501427306613959
2026-01-06 16:47:57,50,5,0.2,0.3,2400,2,0.027566785492628105,0.008062942012304385,0.004156408474094698,2.5021822859849765
2026-01-06 16:48:17,50,5,0.2,0.3,2400,3,0.05283216205281271,0.012072313234463275,0.008192721584359734,2.500201816636298
2026-01-06 16:48:39,50,5,0.2,0.3,2400,4,0.05283216205281271,0.0185826725782518,0.018416882765880615,2.500312815265328
2026-01-06 16:49:00,50,5,0.2,0.3,2400,5,0.05283216205281271,0.017991422231431645,0.01563964004619469,2.5002343193237238
2026-01-06 16:49:22,50,5,0.2,0.3,2400,6,0.05594669242353937,0.02180255553925097,0.023466160024779033,2.5002194723190376
2026-01-06 16:49:42,50,5,0.2,0.3,2400,7,0.05724601817856202,0.026636877772589426,0.02595299772132327,2.5003272795463714
2026-01-06 16:50:03,50,5,0.2,0.3,2400,8,0.07465560379040079,0.022174632221263,0.022948939980294902,2.499959185081518
2026-01-06 16:50:24,50,5,0.2,0.3,2400,9,0.07465560379040079,0.022675650118081127,0.02092704058942942,2.499971427916303
2026-01-06 16:50:44,50,5,0.2,0.3,2400,10,0.07465560379040079,0.02642619470753753,0.02418398756209382,2.5000146181023664
2026-01-06 16:51:05,50,5,0.2,0.3,2400,11,0.07465560379040079,0.0229917182358929,0.020044160787980443,2.499942512868689
2026-01-06 16:51:25,50,5,0.2,0.3,2400,12,0.08336546700621546,0.026962402994847232,0.02264609705432743,2.5001288167685645
2026-01-06 16:51:45,50,5,0.2,0.3,2400,13,0.08336546700621546,0.027728431280485646,0.024171288841716338,2.4999261888840256
2026-01-06 16:52:05,50,5,0.2,0.3,2400,14,0.08336546700621546,0.024080680708811683,0.016994892390107135,2.5000649971416204
2026-01-06 16:52:25,50,5,0.2,0.3,2400,15,0.08452541522032661,0.030626238520902748,0.02744740936602287,2.5002219019633984
2026-01-06 16:52:44,50,5,0.2,0.3,2400,16,0.09024128680585462,0.032884585764642746,0.029600587067731984,2.5006392131376924
2026-01-06 16:53:04,50,5,0.2,0.3,2400,17,0.09024128680585462,0.034013436372498325,0.028121875379707693,2.5000062957471414
2026-01-06 16:53:23,50,5,0.2,0.3,2400,18,0.09024128680585462,0.035175452445574205,0.032416676131750886,2.50027067046281
2026-01-06 16:53:42,50,5,0.2,0.3,2400,19,0.09024128680585462,0.035218359883510096,0.03623224131892934,2.5006928055820836
2026-01-06 16:54:02,50,5,0.2,0.3,2400,20,0.09135823852779226,0.037765788379843686,0.03370290091231043,2.5003770161575867
2026-01-06 16:54:21,50,5,0.2,0.3,2400,21,0.09135823852779226,0.02868017479175573,0.023736930965627578,2.500454953035682
2026-01-06 16:54:41,50,5,0.2,0.3,2400,22,0.09149580094538583,0.03892094251439289,0.0397261672309093,2.5002662521484944
2026-01-06 16:55:00,50,5,0.2,0.3,2400,23,0.09149580094538583,0.031685855723084085,0.02791680643656147,2.5002041812944427
2026-01-06 16:55:19,50,5,0.2,0.3,2400,24,0.09149580094538583,0.04566761899609794,0.04809810572932671,2.5015042678792154
2026-01-06 16:55:39,50,5,0.2,0.3,2400,25,0.09149580094538583,0.02835513309335215,0.018144039776477633,2.5005216435740185
2026-01-06 16:55:58,50,5,0.2,0.3,2400,26,0.09149580094538583,0.0334896403506272,0.027521089711884873,2.5003308639024056
2026-01-06 16:56:18,50,5,0.2,0.3,2400,27,0.09149580094538583,0.04132475561021485,0.037682904464880776,2.5004558087562936
2026-01-06 16:56:38,50,5,0.2,0.3,2400,28,0.09149580094538583,0.038977019119058334,0.04130062760608512,2.5006582490982217
2026-01-06 16:56:57,50,5,0.2,0.3,2400,29,0.09149580094538583,0.03654504435898358,0.03210014463786153,2.4999614519620277
2026-01-06 16:57:17,50,5,0.2,0.3,2400,30,0.09149580094538583,0.03603017359334267,0.03445608216233305,2.499959516709117
2026-01-06 16:57:36,50,5,0.2,0.3,2400,31,0.09149580094538583,0.03311810556305439,0.0268235033366478,2.500514154236777
2026-01-06 16:57:55,50,5,0.2,0.3,2400,32,0.09149580094538583,0.038474518732833654,0.02894623917954952,2.5014631330016166
2026-01-06 16:58:14,50,5,0.2,0.3,2400,33,0.09149580094538583,0.0403986392468442,0.04113335378318027,2.500219495211787
2026-01-06 16:58:33,50,5,0.2,0.3,2400,34,0.09364847942427482,0.03499568681841206,0.02839957732890957,2.499976255240152
2026-01-06 16:58:52,50,5,0.2,0.3,2400,35,0.09364847942427482,0.03779025557889123,0.039399135335415704,2.500000557882997
2026-01-06 16:59:10,50,5,0.2,0.3,2400,36,0.09364847942427482,0.035014668148166304,0.027748751909234842,2.5002055343844987
2026-01-06 16:59:29,50,5,0.2,0.3,2400,37,0.09364847942427482,0.03640262328611376,0.03877978411336257,2.500204290510442
2026-01-06 16:59:48,50,5,0.2,0.3,2400,38,0.09364847942427482,0.02713826259785856,0.021977089664178134,2.5013300455137673
2026-01-06 17:00:08,50,5,0.2,0.3,2400,39,0.09364847942427482,0.028485181502727594,0.02522629340640555,2.5004311322022255
2026-01-06 17:00:27,50,5,0.2,0.3,2400,40,0.09364847942427482,0.03871237923491719,0.04015613005864273,2.5003821454212494
2026-01-06 17:00:46,50,5,0.2,0.3,2400,41,0.09364847942427482,0.0344565757018137,0.0319751113381107,2.5014565762323597
2026-01-06 17:01:05,50,5,0.2,0.3,2400,42,0.09364847942427482,0.03292106832659523,0.02896753119998815,2.5010628577255805
2026-01-06 17:01:25,50,5,0.2,0.3,2400,43,0.09364847942427482,0.03232264324262316,0.02767881306995481,2.501237571292609
2026-01-06 17:01:46,50,5,0.2,0.3,2400,44,0.09364847942427482,0.032080340913160095,0.03289627319898179,2.501106232668689
2026-01-06 17:02:05,50,5,0.2,0.3,2400,45,0.09364847942427482,0.03330869330416626,0.026379518940927233,2.500038443863708
2026-01-06 17:02:25,50,5,0.2,0.3,2400,46,0.09364847942427482,0.033416670482906474,0.02958822808123168,2.500346047430546
2026-01-06 17:02:45,50,5,0.2,0.3,2400,47,0.09364847942427482,0.034352733921184896,0.032637622370486286,2.5017360645756668
2026-01-06 17:03:04,50,5,0.2,0.3,2400,48,0.09364847942427482,0.03522227921932723,0.028063949072421594,2.5017078269871056
2026-01-06 17:03:24,50,5,0.2,0.3,2400,49,0.09364847942427482,0.032890885916168025,0.033085893886183604,2.5008097448752262
2026-01-06 17:03:43,50,5,0.2,0.3,2400,50,0.09364847942427482,0.03844230090996355,0.04291332174742159,2.500070865444469
2026-01-06 17:04:02,50,5,0.2,0.3,2400,51,0.09364847942427482,0.0371690989771555,0.03524536974979536,2.5014574853377516
2026-01-06 17:04:21,50,5,0.2,0.3,2400,52,0.09364847942427482,0.03239192436159377,0.03161036535899442,2.5016013664949424
2026-01-06 17:04:40,50,5,0.2,0.3,2400,53,0.09364847942427482,0.03987921650842713,0.04644758816399276,2.501423047607581
2026-01-06 17:04:59,50,5,0.2,0.3,2400,54,0.09364847942427482,0.03951676662959658,0.03777294041648492,2.5031084204789447
2026-01-06 17:05:18,50,5,0.2,0.3,2400,55,0.09364847942427482,0.038148164232478,0.03811377800943651,2.502457589347345
